"","Sno","Province","Coal Field","District","Mine","Notes","Worked by Joint Stock Companies","Worked by private owners","Worked by Government of India","Non-Act mines","When Opened","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","lat_manual","long_manual","geo","coordinates.lon","coordinates.lat"
"1",  1,"Burma",NA,"Shwebo","Kyetsubin",NA,NA,NA,NA,NA,"1890",    0,    0,8720,   0,   0, 0, 0, 0, 0,       0,"22.783333"," 95.966667","Shwebo District, Kyetsubin",78.96288,20.59368
"2",  2,"Burma",NA,"Shwebo","Letkakpin",NA,NA,NA,NA,NA,"1890",12466,13302, 586,1105,   0, 0, 0, 0, 0,       0,"23.51700261662423"," 95.48306014269644","Shwebo District, Letkakpin",78.96288,20.59368
"3",  3,"Burma",NA,"Upper Chindwin","Thitchauk",NA, 1,NA,NA,NA,"1905",    0,    0,   0,   0,1222, 0, 0, 0, 0,       0,"23.17892073534774"," 94.24154026363479","Upper Chindwin District, Thitchauk",78.96288,20.59368
"4",  4,"East Bengal and Assam","Makum","Lakhimpur","Upper Ledo",NA, 1,NA,NA,NA,"1882",NA,NA,NA,NA,NA,NA,NA,NA,NA,   71682,"27.295447121622605"," 95.77638005448703","Lakhimpur District, Upper Ledo",94.15138,27.20636
"5",  5,"East Bengal and Assam","Makum","Lakhimpur","Ledo Valley (East and West)",NA, 1,NA,NA,NA,"1882",NA,NA,NA,NA,NA,NA,NA,NA,NA,   99416,"27.2901320511715"," 95.78300164196853","Lakhimpur District, Ledo Valley (East and West)",94.15138,27.20636
"6",  6,"East Bengal and Assam","Makum","Lakhimpur","Tirap",NA, 1,NA,NA,NA,"1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,   25308,"27.2911059963171"," 95.75340231815142","Lakhimpur District, Tirap",94.15138,27.20636
"7",  7,"East Bengal and Assam","Makum","Lakhimpur","Namdang",NA, 1,NA,NA,NA,"1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,   36805,"27.265489353155118"," 95.72136709472396","Lakhimpur District, Namdang",94.15138,27.20636
"8",  8,"East Bengal and Assam","Makum","Lakhimpur","Tikak",NA, 1,NA,NA,NA,"1882",NA,NA,NA,NA,NA,NA,NA,NA,NA,   63883,"27.28437578115339"," 95.73341112067588","Lakhimpur District, Tikak",94.15138,27.20636
"9",  9,"East Bengal and Assam","Makum","Lakhimpur","Ramring",NA, 1,NA,NA,NA,"1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"NA",NA,"Lakhimpur District, Ramring",94.15138,27.20636
"10", 10,"East Bengal and Assam","Makum","Khasi and Jaintia Hills","Lakadong",NA,NA,NA,NA,NA,"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"25.53182062570477"," 92.53027796175728","Khasi and Jaintia Hills District, Lakadong",92.53097,25.53074
"11", 11,"East Bengal and Assam","Makum","Khasi and Jaintia Hills","Maolong",NA,NA,NA,NA,NA,"1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"25.61760465966456"," 91.97444045322061","Khasi and Jaintia Hills District, Maolong",78.96288,20.59368
"12", 12,"East Bengal and Assam","Makum","Sibsagar","Dikhu Valley",NA,NA,NA,NA,NA,"1854",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"26.857812434594006"," 94.7615105736715","Sibsagar District, Dikhu Valley",94.48256,26.99348
"13", 13,"East Bengal and Assam","Makum","Sibsagar","Suffrai",NA,NA,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"26.981126086978392"," 94.95340966547747","Sibsagar District, Suffrai",94.64503,27.00308
"14", 14,"East Bengal and Assam","Makum",NA,NA,NA,NA,NA,NA, 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,     142,NA,NA,"NA District, NA",78.96288,20.59368
"15", 15,"Bengal","Daltonganj","Palamau","Rajhara",NA, 1,NA,NA,NA,"1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,   84996,"24.164100705858203"," 84.044835100434","Palamau District, Rajhara",84.03921,24.16887
"16", 16,"Bengal","Daltonganj","Palamau","Singra",NA, 1,NA,NA,NA,"1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.079015052075537"," 84.13279896532303","Palamau District, Singra",84.18571,24.12861
"17", 17,"Bengal","Daltonganj","Palamau","Singra",NA,NA, 1,NA,NA,"1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,       0,"24.079015052075537"," 84.13279896532303","Palamau District, Singra",84.18571,24.12861
"18", 18,"Bengal","Giridih","Hazaribagh","Dhobidih",NA, 1,NA,NA,NA,"1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,   25273,"24.26291160390313"," 85.70080717272717","Hazaribagh District, Dhobidih",85.35496,23.97873
