description,year
"A Special Police Officer (SPO), identified as Sameer Ahmad was killed by suspected militants at Hajan in Pulwama District on January 1 evening, reports Daily Excelsior. Sources said that suspected militants fired at Sameer Ahmad. The injured was immediately taken to a hospital where he was declared as brought dead, sources said. They said the militants managed to escape under the cover of darkness. Security forces were rushed and a search operation was launched to nab the attackers, they added",2019
"Armed Forces Special Powers Act (AFSPA) has been extended for six more month in Nagaland, reports Northeast Today on January 1. According to Union Ministry of Home Affairs (UMHA) notification, Government of India (GoI) is of the opinion that the area comprising the whole of State of Nagaland is in such a disturbed and dangerous condition that the use of armed forces in aid of civilian power is necessary. A ministry official said the decision to continue the declaration of Nagaland as disturbed area has been taken as killings, loot and extortion have been going on in various parts of the State which necessitated the action for the convenience of the security forces operating there.",2019
"On January 1, an ex-United Liberation Front of Asom (ULFA) militant identified as Pranab Gogoi alias PapuGogoialias Keshab Gogoi was arrested from Biswanath District, reports Northeast Now. A pistol and seven live rounds of ammunition were recovered from the militant. He was arrested from the residence of an individual identified as Binit Das, the watchman of Biswanath District Sports Association. Papu Gogoi had joined the militant outfit in 2009 and received arms training in Myanmar, but he surrendered before Police in Lakhimpur in 2011.",2019
"The number of objections filed on the draft of the National Register of Citizens (NRC) shot up abruptly and more than 265000 have been filed, reports Assam Tribune on January 1. According to officials, around 3.1 million claims have been filed and the claims have been received from almost all District of the state. Sources said that majority of the objections have been filed in the districts of Barpeta, Nagaon, Morigaon and Kamrup. The process of filing of claims and objections started on September 23 and though the process of filing of claims steadily increased since then, most of the objections were filed on the last day. More than 4million applicants were not included in the draft of the NRC.",2019
"The Year 2019 will be challenging for the Odisha Police as many important events including the General Elections are scheduled to be held, said Director General of Police (DGP), Rajendra Prasad Sharma on January 1, reports Pragativadi News.DGP Sharma said that anti-Naxal[Left Wing Extremist, LWE] operations will be also intensified in the insurgent-hit areas of the State. The Police personnel will be imparted special training in this regard.",2019
"Altogether 140 terrorists were killed by Security Forces (SFs) in Jammu and Kashmir between June and December 2018 during which 426 stone pelting incidents were also reported in the State, Union Minister Hansraj Gangaram Ahir said on January 2, reports Daily Excelsior. Replying to a written question in Rajya Sabha, he said 140 terrorists were killed from June 25 to December 5, 2018 in the State, where 119 terrorist violence took place during the period. The Minister said 426 stone pelting incidents took place in Jammu and Kashmir in the said period in which 34 civilians were injured. As many as 171 SFs personnel were martyred while combating with terrorists in Kashmir and other parts of the country, guarding borders or serving their duty in 2016, 167 troops were martyred in 2017 and 163 personnel in 2018 (till November).",2019
"Informing the Rajya Sabha [the Upper House of the Parliament] on January 2, the Union Minister of State for Home Affairs Hansraj Ahir has said that in the recent grenade attack on a Nirankari mission in Amritsar, the involvement of the Khalistan Liberation Force [KLF], and the International Sikh Youth Federation [ISYF] has emerged, and in last two years, 18 Khalistan-inspired outfits were busted with arrests of 95 Khalistan operatives, reports Economic Times.",2019
"Pakistani troops violated the ceasefire by firing unprovoked twice in a day at forward Indian posts along the Line of Control (LoC) in Poonch District on January 2, reports Daily Excelsior. Pakistani Army this morning [January 2] and in the evening fired unprovoked and targetted forward posts in Gulpur and Khari Karmada areas of Poonch sector, official sources said. They said that Pakistani troops fired small arms, adding, own troops effectively and strongly retaliated to the firing. So far no injury or damage has been reported on own side while intermittent firing was still in progress, they said.",2019
"The militant umbrella organisation Coordination Committee (CorCom) has imposed a total shut down in the State on January 4 against Prime Minister, Narendra Modis visit, reports Imphal Free Press on January 2. In a press release by media cordinator of CorCom, Libaak Ngaakpa Luwang, it alleged that the visit has the agenda to show that Manipur is an indispensable part of India. The Prime Minister is scheduled to arrive in Imphal on January 4 to inaugurate a host of projects besides laying foundation stones for some new projects. He is also scheduled to address at a public function in Imphal, adds Nagaland Post. Maoist Communist Party Manipur (MCPM) also announced boycott to the visit of the Prime Minister, but stated that it will not impose any kind of strike on the day. United Peoples Revolutionary Front of Manipur (UPRFM), another umbrella body of some factions of armed groups has also announced a 12-hour total shutdown on January 4 boycotting the visit of Prime Minister. The shutdown will be enforced from 6am of January 4 till 6 pm of the same day.",2019
"The preliminary forensic analysis of the evidences from 10 arrested Islamic State [IS]-inspired outfit—Harkat-ul-Harb-e-Islam [HuHI], has revealed that the operatives had gathered powerful explosives to cause large casualties, reports The Indian Express on January 2. The group was in advanced stage of carrying out multiple blasts. The forensic report has also suggested that the explosives chemical compositions which are used in firecrackers (such as potassium nitrate, potassium chlorate, sulphur, sugar, arsenic sulphide, aluminium powder) have been used in the earlier to make home-made explosives by terrorists for fabrication of Improvised Explosive Devices [IEDs].",2019
