"banner_image","fullname","images/0","in_reply_to/0","in_reply_to/1","in_reply_to/2","in_reply_to/3","in_reply_to/4","in_reply_to/5","in_reply_to/6","in_reply_to/7","in_reply_to/8","in_reply_to/9","in_reply_to/10","in_reply_to/11","in_reply_to/12","in_reply_to/13","in_reply_to/14","in_reply_to/15","in_reply_to/16","in_reply_to/17","in_reply_to/18","in_reply_to/19","in_reply_to/20","in_reply_to/21","in_reply_to/22","in_reply_to/23","in_reply_to/24","in_reply_to/25","in_reply_to/26","language","likes","num_followers","num_following","query","quotes","replies","retweets","text","timestamp","total_likes","total_tweets","tweet_avatar","tweet_hashtags/0","tweet_hashtags/1","tweet_hashtags/2","tweet_hashtags/3","tweet_hashtags/4","tweet_hashtags/5","tweet_hashtags/6","tweet_hashtags/7","tweet_hashtags/8","tweet_id","tweet_links/0","tweet_mentions/0","tweet_mentions/1","tweet_mentions/2","tweet_mentions/3","url","username"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,," from:BloodDonorsIn","0","0","39","#Lucknow Need Blood A+ve 2 Units At Medanta Lucknow Hospital. Please Contact 9890287899 via @_MishraS #Blood","2023-09-15 18:32:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#Lucknow","#Blood",,,,,,,,"1702752212236046822",,"_MishraS",,,,"https://twitter.com/BloodDonorsIn/status/1702752212236046822","@BloodDonorsIn"
,"Blood Donors India",,"@jay_ashiindia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,," from:BloodDonorsIn","0","0","0","Please mention the name of the hospital, Thanks!","2023-09-15 18:29:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg",,,,,,,,,,"1702751471169671307",,,,,,"https://twitter.com/BloodDonorsIn/status/1702751471169671307","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7",,," from:BloodDonorsIn","0","0","53","#Delhi Need Blood Platelets B+ve/AB+ve 5 Units At Dharmshila, Vasundhara. Please Contact 8360667406 via @jeasbe #Blood","2023-09-15 18:28:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#Delhi","#Blood",,,,,,,,"1702751226213859443",,"jeasbe",,,,"https://twitter.com/BloodDonorsIn/status/1702751226213859443","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,," from:BloodDonorsIn","0","0","46","#Lucknow Need Blood A+ve 7 Units At Medanta Lucknow Amar Shaheed Path Golf city. Please Contact 9890287899 via @ArushGzp #Blood","2023-09-15 18:25:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#Lucknow","#Blood",,,,,,,,"1702750512955687167",,"ArushGzp",,,,"https://twitter.com/BloodDonorsIn/status/1702750512955687167","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,," from:BloodDonorsIn","0","0","37","#SOS #Srikakulam Need Blood Platelets O+ve 2 Units At Medicover Hospital ,Srikakulam. Please Contact 8249429035 via @bkrsatish #Blood","2023-09-15 18:20:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#SOS","#Srikakulam","#Blood",,,,,,,"1702749244996677923",,"bkrsatish",,,,"https://twitter.com/BloodDonorsIn/status/1702749244996677923","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20",,," from:BloodDonorsIn","0","1","99","#SOS #Srikakulam #AndraPradesh Need Blood O+ve 2 units at Medicover Hospital. Please call 8249429035 via @bkrsatish #Blood","2023-09-15 09:24:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#SOS","#Srikakulam","#AndraPradesh","#Blood",,,,,,"1702614427319890228",,"bkrsatish",,,,"https://twitter.com/BloodDonorsIn/status/1702614427319890228","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16",,," from:BloodDonorsIn","0","0","90","#SOS #Patna Need Blood Any Group 2 units at Ruban Hospital. Please call 9731646722 via @GargBihar #Blood","2023-09-15 09:22:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#SOS","#Patna","#Blood",,,,,,,"1702613929963425946",,"GargBihar",,,,"https://twitter.com/BloodDonorsIn/status/1702613929963425946","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19",,," from:BloodDonorsIn","0","0","89","#SOS #Delhi Need Blood O+ve 1 units Platelets and 4 units Red Blood cells at Dharamshala Narayana Superspeciality Hospital. Please call 9599915184 via 
@manishbhattuk #Blood","2023-09-15 09:20:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#SOS","#Delhi","#Blood",,,,,,,"1702613314298421446",,"manishbhattuk",,,,"https://twitter.com/BloodDonorsIn/status/1702613314298421446","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13",,," from:BloodDonorsIn","0","0","76","#Noida Need Blood A-ve 2 units at LYF Hospital. Gaur City 1. Please call 8439801945 via @rtz2042 #Blood","2023-09-15 09:08:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#Noida","#Blood",,,,,,,,"1702610236094460164",,"rtz2042",,,,"https://twitter.com/BloodDonorsIn/status/1702610236094460164","@BloodDonorsIn"
,"Blood Donors India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14",,," from:BloodDonorsIn","0","1","88","#SOS #Hyderabad Need Blood O+ve or O-ve WBC 4 units at Yashoda Hospital, Somajiguda. Please call 9650203676 via @vrindaprasad #Blood","2023-09-15 09:04:00+00:00",,,"https://pbs.twimg.com/profile_images/1614330887335972864/9zWMnJF5_400x400.jpg","#SOS","#Hyderabad","#Blood",,,,,,,"1702609255550107931",,"vrindaprasad",,,,"https://twitter.com/BloodDonorsIn/status/1702609255550107931","@BloodDonorsIn"
